2020/10/22 15:39:03 Simple-HTTP v0.5.0 started to serve '.' folder on port: 8082
2020/10/22 16:23:22 Elapsed time 16.902µs 	     GET 	 /index.html
2020/10/22 16:23:23 Elapsed time 150.879193ms 	     GET 	 /
2020/10/22 16:23:23 Elapsed time 1.150525ms 	     GET 	 /style.css
2020/10/22 16:23:23 Elapsed time 39.295µs 	     GET 	 /favicon.ico
2020/10/22 17:44:54 Elapsed time 11.590444ms 	     GET 	 /
2020/10/22 17:44:54 Elapsed time 616.194µs 	     GET 	 /style.css
2020/10/22 17:44:54 Elapsed time 61.216µs 	     GET 	 /favicon.ico
2020/10/22 17:49:56 Elapsed time 2.898514ms 	     GET 	 /
2020/10/22 17:49:56 Elapsed time 6.834657ms 	     GET 	 /style.css
2020/10/22 17:49:57 Elapsed time 149.141µs 	     GET 	 /favicon.ico
2020/10/22 17:52:47 Elapsed time 338.443µs 	     GET 	 /
2020/10/22 17:52:47 Elapsed time 796.932µs 	     GET 	 /style.css
2020/10/22 17:52:47 Elapsed time 63.415µs 	     GET 	 /favicon.ico
2020/10/22 17:52:59 Elapsed time 1.987686ms 	     GET 	 /
2020/10/22 17:52:59 Elapsed time 2.209077ms 	     GET 	 /style.css
2020/10/22 17:53:00 Elapsed time 33.967µs 	     GET 	 /favicon.ico
2020/10/22 17:53:30 Elapsed time 769.994µs 	     GET 	 /
2020/10/22 17:53:31 Elapsed time 239.997µs 	     GET 	 /style.css
2020/10/22 17:53:31 Elapsed time 23.13µs 	     GET 	 /favicon.ico
2020/10/22 17:53:32 Elapsed time 20.476894ms 	     GET 	 /
2020/10/22 17:53:32 Elapsed time 50.011062ms 	     GET 	 /style.css
2020/10/22 17:53:32 Elapsed time 28.495µs 	     GET 	 /favicon.ico
2020/10/22 17:53:32 Elapsed time 395.971µs 	     GET 	 /
2020/10/22 17:53:32 Elapsed time 26.518055ms 	     GET 	 /style.css
2020/10/22 17:53:32 Elapsed time 22.644µs 	     GET 	 /favicon.ico
